,,,,,,,,,,,,,
,Test Case ID,Test Scenario,Module,Preconditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Priority,Screenrecords,Technical Details,Comments
,TC01,Verify that the website opens successfully without any issues,Application Launch,User has stable internet connection and valid URL,Website link - https://test1.gotrade.goquant.io,"1. Open a web browser
2. Enter the website URL in the address bar
3. Press Enter",The website should load completely without any delay or error messages,Website loaded successfully,Pass,High,https://drive.google.com/file/d/1vETf-AfXrMFXzg-uN5IXzHMzuaVKbQ_r/view?usp=sharing,"The website returned HTTP status code 200 (OK), confirming successful server connectivity.",Website launched successfully and displayed all components correctly.
,TC02,Verify login functionality using both valid and invalid credentials,Authentication,User must be on the login page,"Valid:
• Email: user10@goquant.io
• Password: 60Re3G9KvvFl4Ihegxpi Invalid:
• Email: user10@goquant.io
• Password: Invalid123@","1. Launch the website
2. Navigate to the Login page
3. Enter invalid credentials and click Login
4. Observe the message
5. Clear the fields
6. Enter valid credentials and click Login
7. Observe the result","Invalid credentials → Error message should be displayed: “Invalid email or password”
Valid credentials → User should be redirected to the Dashboard or Home page","Invalid credentials: Error message displayed correctly
Valid credentials: User logged in successfully",Pass,High,https://drive.google.com/file/d/16bEJAb3-EiqlKTaSfdY8d-zlzs1yyHLA/view?usp=sharing,Network request /auth/login returns HTTP 200 for valid credentials and HTTP 401 (Unauthorized) for invalid ones. No console errors observed. Response payload includes JWT token and user details upon success.,Login flow functions as expected for both valid and invalid credentials. Input field validation and error handling are properly implemented.
,TC03,"Verify that when valid login cookies are saved, reopening the website skips both the login page and the start tour popup",Authentication,"1. User has successfully logged in previously
2. Valid session cookies and localStorage tokens are present
3. User has already completed or skiped the start tour once","Valid:
• Email: user10@goquant.io
• Password: 60Re3G9KvvFl4Ihegxpi","1. Login with valid credentials
2. Verify dashboard loads successfully
3. Skip or complete the start tour
4. Close the browser or tab (without logging out)
5. Reopen the website in the same browser session","Website should detect saved session cookies and:
• Bypass the login page
• Skip the start tour popup and load the main dashboard directly",Login page and start tour both skipped; dashboard opened directly,Pass,Low,https://drive.google.com/file/d/12s47OKxWeBaNCM5XRSQYWzeNf5mgQI0U/view?usp=sharing,"Browser retained valid authentication cookies and localStorage tokens (accessToken, refreshToken). On relaunch, initial /auth/session API returned HTTP 200, confirming session validity. No console errors observed.",Session persistence works as expected. System correctly bypasses login and onboarding flow when valid session tokens exist.
,TC04,Verify that user is able to sign out successfully,Authentication,User logged in successfully,Valid user session active,"1. Navigate to the user profile 
2. Click Sign Out button
3. Observe if redirected to login page
4. Try re-accessing the app URL to ensure session is cleared","User should be logged out successfully, redirected to login page, and session should be cleared",User successfully signed out; redirected to login page and session cleared,Pass,Medium,https://drive.google.com/file/d/1uDhfci1tc_mvHCpT5Et96p5fJvMpr9wH/view?usp=sharing,"The sign-out API returned status code 200 (OK), confirming that the session token was invalidated and cleared successfully.",Sign-out functionality verified and working as expected
,TC05,Add multiple exchange accounts with API credentials),Admin,User is logged in and on “Admin” page; valid API credentials available,"OKX: API Key + Secret
Binance USDM: API Key + Secret
Binance CoinM: API Key + Secret","1. Click “Add Exchange”
2. Select OKX, enter API key & secret, click Save
3. Select Binance USDM, enter API key & secret, click Save
4. Select Binance CoinM, enter API key & secret, click Save
5. Verify all exchanges appear in connected list",All three exchanges added successfully; each shows “Connected”; no error messages,Unable to add accounts; previously connected exchanges show “Cannot communicate with exchange”,Fail,Critical,https://drive.google.com/file/d/1Zj0Sfntaw2R1i9E2447B7Ia0ANFasS7i/view?usp=sharing,Network calls to /api/exchange/connect/* returned 400 error; console shows connection errors,Likely backend/API issue; devs need to check connectivity or API key validity
,TC06,Verify user is able to modify an existing exchange account,Admin,User logged in; at least one exchange account added and visible,Exchange Name: OKX / Binance USDM / Binance CoinM,"1. Navigate to Accounts → Admin
2. Select an existing connected account
3. Click Modify
4. Update API Key or Secret Key
5. Save the changes","Account details should be updated successfully, and confirmation message should appear","Unable to modify the account; an unclear / non-understandable error popup appears, and changes are not saved",Fail,High,https://drive.google.com/file/d/18LzzjraBYdKbaeVtA-uY9SD2I2NtXA-r/view?usp=sharing,"API returned HTTP 400 (Bad Request) – ""delete_credentials() takes from 1 to 2 positional arguments but 3 were given"", indicating a backend function parameter mismatch.",API-side bug identified. The backend method for deleting credentials is receiving extra arguments. Needs developer fix to handle request parameters properly.
,TC07,Delete previously added exchange accounts,Admin,User logged in; at least one exchange account added and visible,Exchange Name: OKX / Binance USDM / Binance CoinM,"1. Navigate to “Admin” list
2. Select an exchange (e.g., OKX)
3. Click “Delete” button
4. Confirm deletion
5. Repeat for other exchanges if needed
6. Verify exchange is removed from the list",Selected exchange(s) should be successfully deleted and removed,Able to delete exchanges,Pass,High,https://drive.google.com/file/d/13V0VXCSdCPIKFYN55aKOyWtxLCfWsTFB/view?usp=sharing,API call DELETE /api/exchange/{id} returned HTTP 200 (OK) confirming successful removal. No backend or console errors observed during operation.,Functionality working as expected. Deletion confirmed at both UI and API levels.
,TC08,Perform trades on GoTrade using OKX with different trade types and symbols,GoTrade,User logged in; OKX exchange added and connected,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to OKX exchange
3. Select a symbol (e.g., BTC)
4. Place a Market Edge trade
5. Repeat steps with other symbols and trade types",All trades should be executed successfully for different symbols,Trades executed successfully for all symbols,Pass,Critical,https://drive.google.com/file/d/1fYUNPs5UwdbLAkxEVaxVUnEHvGnrKylM/view?usp=sharing,"All trade API requests returned HTTP 200 (OK) with valid order IDs, confirming successful trade execution and server acknowledgment.",Trading functionality verified with multiple order types and symbols; system handled all transactions successfully
,TC09,Verify OKX trades are displayed correctly in Order History,GoTrade,User logged in; OKX trades placed successfully,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to OKX exchange
3. Place one or more trades (any type) on different symbols
4. Navigate to Order History
5. Check if all OKX trades are visible","All OKX trades should be displayed in Order History with correct symbol, trade type, quantity, and status",OKX trades are inconsistently displayed in Order History,Fail,High,https://drive.google.com/file/d/1fYUNPs5UwdbLAkxEVaxVUnEHvGnrKylM/view?usp=sharing,"The Order History API intermittently failed to return complete trade data for OKX; some responses lacked symbol or status fields, causing inconsistent display.",Trades placed successfully but not reflected consistently in Order History. Backend response needs validation to ensure all OKX trades are captured and displayed.
,TC10,Perform trades on GoTrade using Binance USD-M with different trade types and symbols,GoTrade,User logged in Binance USD-M exchange added and connected,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to Binance USD-M exchange
3. Select a symbol (e.g., BTC)
4. Place a Market Edge trade
5. Repeat steps with other symbols and trade types",All trades should be executed successfully for different symbols,"Inconsistent behavior — some trades execute successfully, while others fail with server error.",Fail,Critical,https://drive.google.com/file/d/1e1cfFkKazFQNRh9FKWMCjxwtkk-QMpVk/view?usp=sharing,"API intermittently returns HTTP 400 (Bad Request) with error — ""No response received from UDP server"". Indicates backend connectivity or timeout issue with UDP trade execution service.",Trade execution succeeds occasionally but fails randomly due to UDP server timeout. Requires backend stability check.
,TC11,Verify Binance USD-M trades are displayed correctly in Order History,GoTrade,User logged in; Binance USD-M trades placed successfully,"Symbols: BTC, ETH, SOL, etc.
Order Types: Market, Limit, TWAP etc.","1. Navigate to GoTrade page
2. Switch to Binance USD-M exchange
3. Place one or more trades (any type) on different symbols
4. Navigate to Order History
5. Check if all Binance USD-M trades are visible","All Binance USD-M trades should be displayed in Order History with correct symbol, trade type, quantity, and status",Binance USD-M trades are not displayed in Order History,Fail,High,https://drive.google.com/file/d/1e1cfFkKazFQNRh9FKWMCjxwtkk-QMpVk/view?usp=sharing,API call to fetch Order History returned HTTP 200 (OK) but response payload did not include recent Binance USD-M trades. No console errors observed — issue likely related to data sync or backend filtering logic.,Order History failed to display Binance USD-M trades even after successful execution. Needs backend validation for trade log persistence or API mapping.
